labels,a.8dpg-i.6bqh
"x2ee, x3ee, x4ee",-20.00
"x2ee, x3ee, xEL2",-13.57
"x2ee, x3ee, x5ee",-18.94
"x2ee, x3ee, x6ee",-28.18
"x2ee, x3ee, x7ee",-4.02
"x2ee, x4ee, xEL2",16.29
"x2ee, x4ee, x5ee",18.13
"x2ee, x4ee, x6ee",-7.16
"x2ee, x4ee, x7ee",11.87
"x2ee, xEL2, x5ee",8.02
"x2ee, xEL2, x6ee",-17.44
"x2ee, xEL2, x7ee",6.60
"x2ee, x5ee, x6ee",-25.29
"x2ee, x5ee, x7ee",3.92
"x2ee, x6ee, x7ee",12.76
"x3ee, x4ee, xEL2",2.43
"x3ee, x4ee, x5ee",8.92
"x3ee, x4ee, x6ee",-12.41
"x3ee, x4ee, x7ee",-12.88
"x3ee, xEL2, x5ee",-3.26
"x3ee, xEL2, x6ee",-8.31
"x3ee, xEL2, x7ee",-3.20
"x3ee, x5ee, x6ee",-19.78
"x3ee, x5ee, x7ee",-10.00
"x3ee, x6ee, x7ee",-8.60
"x4ee, xEL2, x5ee",2.84
"x4ee, xEL2, x6ee",-7.06
"x4ee, xEL2, x7ee",11.06
"x4ee, x5ee, x6ee",2.48
"x4ee, x5ee, x7ee",10.62
"x4ee, x6ee, x7ee",-5.82
"xEL2, x5ee, x6ee",-8.23
"xEL2, x5ee, x7ee",1.36
"xEL2, x6ee, x7ee",-10.42
"x5ee, x6ee, x7ee",-16.76
