labels,a.8dpf
"x2ee, x3ee, x4ee",41.51
"x2ee, x3ee, xEL2",67.63
"x2ee, x3ee, x5ee",109.01
"x2ee, x3ee, x6ee",143.63
"x2ee, x3ee, x7ee",91.87
"x2ee, x4ee, xEL2",87.33
"x2ee, x4ee, x5ee",143.99
"x2ee, x4ee, x6ee",235.52
"x2ee, x4ee, x7ee",167.27
"x2ee, xEL2, x5ee",28.41
"x2ee, xEL2, x6ee",103.38
"x2ee, xEL2, x7ee",97.02
"x2ee, x5ee, x6ee",128.10
"x2ee, x5ee, x7ee",130.29
"x2ee, x6ee, x7ee",65.75
"x3ee, x4ee, xEL2",55.31
"x3ee, x4ee, x5ee",74.49
"x3ee, x4ee, x6ee",131.22
"x3ee, x4ee, x7ee",115.36
"x3ee, xEL2, x5ee",26.41
"x3ee, xEL2, x6ee",27.70
"x3ee, xEL2, x7ee",72.84
"x3ee, x5ee, x6ee",93.36
"x3ee, x5ee, x7ee",147.33
"x3ee, x6ee, x7ee",117.39
"x4ee, xEL2, x5ee",44.84
"x4ee, xEL2, x6ee",52.55
"x4ee, xEL2, x7ee",30.38
"x4ee, x5ee, x6ee",36.64
"x4ee, x5ee, x7ee",107.00
"x4ee, x6ee, x7ee",133.41
"xEL2, x5ee, x6ee",43.72
"xEL2, x5ee, x7ee",54.62
"xEL2, x6ee, x7ee",72.08
"x5ee, x6ee, x7ee",62.71
