labels,a.7um5,a.7um7,i.7um4,a.7um5-i.7um4,a.7um7-i.7um4
"x2ee, x3ee, x4ee, x5ee",261.38,257.56,258.26,3.12,-0.70
"x2ee, x3ee, x4ee, x6ee",335.29,341.40,377.19,-41.90,-35.80
"x2ee, x3ee, x4ee, x7ee",262.68,274.73,272.05,-9.37,2.68
"x2ee, x3ee, x5ee, x6ee",287.93,287.90,302.86,-14.94,-14.97
"x2ee, x3ee, x5ee, x7ee",311.46,319.77,278.51,32.95,41.26
"x2ee, x3ee, x6ee, x7ee",277.32,284.04,243.37,33.94,40.67
"x2ee, x4ee, x5ee, x6ee",274.11,284.73,287.32,-13.21,-2.59
"x2ee, x4ee, x5ee, x7ee",297.68,316.65,264.11,33.57,52.54
"x2ee, x4ee, x6ee, x7ee",323.10,347.02,325.02,-1.92,22.00
"x2ee, x5ee, x6ee, x7ee",199.10,221.45,210.10,-11.01,11.34
"x3ee, x4ee, x5ee, x6ee",183.04,194.69,225.92,-42.89,-31.24
"x3ee, x4ee, x5ee, x7ee",298.64,311.59,299.46,-0.82,12.13
"x3ee, x4ee, x6ee, x7ee",324.10,342.02,362.24,-38.14,-20.22
"x3ee, x5ee, x6ee, x7ee",276.80,288.69,288.15,-11.35,0.54
"x4ee, x5ee, x6ee, x7ee",198.02,204.48,198.92,-0.90,5.55
