labels,a.7um5,a.7um7,i.7um4,a.7um5-i.7um4,a.7um7-i.7um4
"x2ee, x3ee, x4ee, x5ee",221.74,212.66,229.70,-7.96,-17.04
"x2ee, x3ee, x4ee, x6ee",320.50,315.06,366.04,-45.54,-50.98
"x2ee, x3ee, x4ee, x7ee",272.14,280.86,278.58,-6.44,2.27
"x2ee, x3ee, x5ee, x6ee",270.57,277.60,279.98,-9.42,-2.39
"x2ee, x3ee, x5ee, x7ee",310.97,320.80,265.70,45.27,55.10
"x2ee, x3ee, x6ee, x7ee",289.56,291.86,242.49,47.07,49.38
"x2ee, x4ee, x5ee, x6ee",257.82,255.16,259.12,-1.31,-3.97
"x2ee, x4ee, x5ee, x7ee",298.58,298.62,245.72,52.86,52.90
"x2ee, x4ee, x6ee, x7ee",348.27,340.71,331.74,16.52,8.96
"x2ee, x5ee, x6ee, x7ee",247.33,249.77,233.12,14.21,16.64
"x3ee, x4ee, x5ee, x6ee",180.63,171.62,228.60,-47.97,-56.97
"x3ee, x4ee, x5ee, x7ee",297.79,280.08,304.34,-6.55,-24.26
"x3ee, x4ee, x6ee, x7ee",348.40,322.88,394.79,-46.39,-71.91
"x3ee, x5ee, x6ee, x7ee",297.74,285.23,306.77,-9.03,-21.54
"x4ee, x5ee, x6ee, x7ee",200.38,183.10,196.10,4.28,-13.00
