labels,a.8e9z-i.5zhp
"x2ee, x3ee, x4ee",-3.31
"x2ee, x3ee, xEL2",-9.99
"x2ee, x3ee, x5ee",-8.45
"x2ee, x3ee, x6ee",-21.06
"x2ee, x3ee, x7ee",-8.56
"x2ee, x4ee, xEL2",11.72
"x2ee, x4ee, x5ee",-30.15
"x2ee, x4ee, x6ee",-37.14
"x2ee, x4ee, x7ee",-16.66
"x2ee, xEL2, x5ee",-33.91
"x2ee, xEL2, x6ee",-71.97
"x2ee, xEL2, x7ee",-31.03
"x2ee, x5ee, x6ee",11.57
"x2ee, x5ee, x7ee",13.24
"x2ee, x6ee, x7ee",4.19
"x3ee, x4ee, xEL2",13.70
"x3ee, x4ee, x5ee",-23.46
"x3ee, x4ee, x6ee",-22.10
"x3ee, x4ee, x7ee",-11.93
"x3ee, xEL2, x5ee",30.42
"x3ee, xEL2, x6ee",-58.06
"x3ee, xEL2, x7ee",-33.13
"x3ee, x5ee, x6ee",24.18
"x3ee, x5ee, x7ee",12.79
"x3ee, x6ee, x7ee",-8.22
"x4ee, xEL2, x5ee",36.71
"x4ee, xEL2, x6ee",19.78
"x4ee, xEL2, x7ee",-0.73
"x4ee, x5ee, x6ee",12.96
"x4ee, x5ee, x7ee",-0.42
"x4ee, x6ee, x7ee",-16.47
"xEL2, x5ee, x6ee",8.41
"xEL2, x5ee, x7ee",-27.52
"xEL2, x6ee, x7ee",-36.65
"x5ee, x6ee, x7ee",2.49
